course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
121000;TECNOLOGIAS DA INFORMAÇÃO E COMUNICAÇÃO;Bacharelado;Noturno;9;CAMPUS ARARANGUÁ - JARDIM DAS AVENIDAS;Araranguá;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121001;MUSEOLOGIA;Bacharelado;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121002;ABI - GEOGRAFIA;Área Básica de Ingresso (ABI);Matutino;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121003;ABI - LETRAS ALEMÃO;Área Básica de Ingresso (ABI);Vespertino;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121004;ABI - LETRAS ESPANHOL;Área Básica de Ingresso (ABI);Vespertino;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121005;RELAÇÕES INTERNACIONAIS;Bacharelado;Integral;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121006;BIBLIOTECONOMIA;Bacharelado;Noturno;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121008;CIÊNCIAS ECONÔMICAS;Bacharelado;Matutino;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121009;ENGENHARIA ELETRÔNICA;Bacharelado;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121010;ARQUITETURA E URBANISMO;Bacharelado;Integral;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121011;MEDICINA;Bacharelado;Integral;15;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121013;ABI - LETRAS LÍNGUA PORTUGUESA;Área Básica de Ingresso (ABI);Noturno;0;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121014;ADMINISTRAÇÃO;Bacharelado;Noturno;15;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
